XY,-88,-58,-34,-6,-1,4,35,41,64,70
-80,0.0252,0.0132,0.0264,0.0012,0.0144,0.0192,0.0024,0.0024,0.0144,0.0012
-32,0.042,0.022,0.044,0.002,0.024,0.032,0.004,0.004,0.024,0.002
-13,0.0168,0.0088,0.0176,0.0008,0.0096,0.0128,0.0016,0.0016,0.0096,0.0008
-8,0.0462,0.0242,0.0484,0.0022,0.0264,0.0352,0.0044,0.0044,0.0264,0.0022
-7,0.0168,0.0088,0.0176,0.0008,0.0096,0.0128,0.0016,0.0016,0.0096,0.0008
8,0.0189,0.0099,0.0198,0.0009,0.0108,0.0144,0.0018,0.0018,0.0108,0.0009
11,0.0126,0.0066,0.0132,0.0006,0.0072,0.0096,0.0012,0.0012,0.0072,0.0006
72,0.0021,0.0011,0.0022,0.0001,0.0012,0.0016,0.0002,0.0002,0.0012,0.0001
80,0.0126,0.0066,0.0132,0.0006,0.0072,0.0096,0.0012,0.0012,0.0072,0.0006
93,0.0168,0.0088,0.0176,0.0008,0.0096,0.0128,0.0016,0.0016,0.0096,
